<html xmlns="http://www.w3.org/1999/xhtml"><head><link title="Wrap Long Lines" href="resource://gre-resources/plaintext.css" type="text/css" rel="alternate stylesheet" /></head><body><pre># Assembly Name:  NCBI33
# Description:    NCBI33 with the DR51 &amp; DR52 alternate MHC haplotype scaffolds in alt-locus assembly-units
# Organism name:  Homo sapiens
# Taxid:          9606
# Submitter:      International Human Genome Sequencing Consortium
# Date: 2003-4-12
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# RefSeq Assembly ID: GCF_000001405.8 (replaced)
#
## Assembly-Units:
## GenBank Unit ID	RefSeq Unit ID	Assembly-Unit name
## 	GCF_000001305.8	Primary Assembly
## 	GCF_000330965.1	DR51
## 	GCF_000330975.1	DR52
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit
1	assembled-molecule	1	Chromosome	na	&lt;&gt;	NC_000001.4	Primary Assembly
2	assembled-molecule	2	Chromosome	na	&lt;&gt;	GPC_000001061.1	Primary Assembly
3	assembled-molecule	3	Chromosome	na	&lt;&gt;	NC_000003.5	Primary Assembly
4	assembled-molecule	4	Chromosome	na	&lt;&gt;	NC_000004.5	Primary Assembly
5	assembled-molecule	5	Chromosome	na	&lt;&gt;	NC_000005.4	Primary Assembly
6	assembled-molecule	6	Chromosome	na	&lt;&gt;	NC_000006.5	Primary Assembly
7	assembled-molecule	7	Chromosome	na	&lt;&gt;	NC_000007.7	Primary Assembly
8	assembled-molecule	8	Chromosome	na	&lt;&gt;	NC_000008.5	Primary Assembly
9	assembled-molecule	9	Chromosome	na	&lt;&gt;	NC_000009.5	Primary Assembly
10	assembled-molecule	10	Chromosome	na	&lt;&gt;	NC_000010.4	Primary Assembly
11	assembled-molecule	11	Chromosome	na	&lt;&gt;	NC_000011.4	Primary Assembly
12	assembled-molecule	12	Chromosome	na	&lt;&gt;	NC_000012.5	Primary Assembly
