<html xmlns="http://www.w3.org/1999/xhtml"><head><link title="Wrap Long Lines" href="resource://gre-resources/plaintext.css" type="text/css" rel="alternate stylesheet" /></head><body><pre># Assembly Name:  GRCh37.p12
# Description:    Genome Reference Consortium Human Build 37 patch release 12 (GRCh37.p12)
# Organism name:  Homo sapiens
# Taxid:          9606
# Submitter:      Genome Reference Consortium
# Date: 2013-3-26
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly ID: GCA_000001405.13 (replaced)
# RefSeq Assembly ID: GCF_000001405.24 (replaced)
# RefSeq Assembly and GenBank Assemblies Identical: yes
#
## Assembly-Units:
## GenBank Unit ID	RefSeq Unit ID	Assembly-Unit name
## 	GCF_000001305.13	Primary Assembly
## 	GCF_000001315.1	ALT_REF_LOCI_1
## 	GCF_000001325.2	ALT_REF_LOCI_2
## 	GCF_000001335.1	ALT_REF_LOCI_3
## 	GCF_000001345.1	ALT_REF_LOCI_4
## 	GCF_000001355.1	ALT_REF_LOCI_5
## 	GCF_000001365.2	ALT_REF_LOCI_6
## 	GCF_000001375.1	ALT_REF_LOCI_7
## 	GCF_000001385.1	ALT_REF_LOCI_8
## 	GCF_000001395.1	ALT_REF_LOCI_9
## 	GCF_000006015.1	non-nuclear
## 	GCF_000005045.11	PATCHES
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit
1	assembled-molecule	1	Chromosome	CM000663.1	=	NC_000001.10	Primary Assembly
2	assembled-molecule	2	Chromosome	CM000664.1	=	NC_000002.11	Primary Assembly
3	assembled-molecule	3	Chromosome	CM000665.1	=	NC_000003.11	Primary Assembly
4	assembled-molecule	4	Chromosome	CM000666.1	=	NC_000004.11	Primary Assembly
5	assembled-molecule	5	Chromosome	CM000667.1	=	NC_000005.9	Primary Assembly
6	assembled-molecule	6	Chromosome	CM000668.1	=	NC_000006.11	Primary Assembly
7	assembled-molecule	7	Chromosome	CM000669.1	=	NC_000007.13	Primary Assembly
8	assembled-molecule	8	Chromosome	CM000670.1	=	NC_000008.10	Primary Assembly
9	assembled-molecule	9	Chromosome	CM000671.1	=	NC_000009.11	Primary Assembly
10	assembled-molecule	10	Chromosome	CM000672.1	=	NC_000010.10	Primary Assembly
11	assembled-molecule	11	Chromosome	CM000673.1	=	NC_000011.9	Primary Assembly
12	assembled-molecule	12	Chromosome	CM000674.1	=	NC_000012.11	Primary Assembly
13	assembled-molecule	13	Chromosome	CM000675.1	=	NC_000013.10	Primary Assembly
14	assembled-molecule	14	Chromosome	CM000676.1	=	NC_000014.8	Primary Assembly
15	assembled-molecule	15	Chromosome	CM000677.1	=	NC_000015.9	Primary Assembly
16	assembled-molecule	16	Chromosome	CM000678.1	=	NC_000016.9	Primary Assembly
17	assembled-molecule	17	Chromosome	CM000679.1	=	NC_000017.10	Primary Assembly
18	assembled-molecule	18	Chromosome	CM000680.1	=	NC_000018.9	Primary Assembly
19	assembled-molecule	19	Chromosome	CM000681.1	=	NC_000019.9	Primary Assembly
20	assembled-molecule	20	Chromosome	CM000682.1	=	NC_000020.10	Primary Assembly
21	assembled-molecule	21	Chromosome	CM000683.1	=	NC_000021.8	Primary Assembly
22	assembled-molecule	22	Chromosome	CM000684.1	=	NC_000022.10	Primary Assembly
X	assembled-molecule	X	Chromosome	CM000685.1	=	NC_000023.10	Primary Assembly
Y	assembled-molecule	Y	Chromosome	CM000686.1	=	NC_000024.9	Primary Assembly
HSCHR1_RANDOM_CTG5	unlocalized-scaffold	1	Chromosome	GL000191.1	=	NT_113878.1	Primary Assembly
HSCHR1_RANDOM_CTG12	unlocalized-scaffold	1	Chromosome	GL000192.1	=	NT_167207.1	Primary Assembly
HSCHR4_RANDOM_CTG2	unlocalized-scaffold	4	Chromosome	GL000193.1	=	NT_113885.1	Primary Assembly
HSCHR4_RANDOM_CTG3	unlocalized-scaffold	4	Chromosome	GL000194.1	=	NT_113888.1	Primary Assembly
HSCHR7_RANDOM_CTG1	unlocalized-scaffold	7	Chromosome	GL000195.1	=	NT_113901.1	Primary Assembly
HSCHR8_RANDOM_CTG1	unlocalized-scaffold	8	Chromosome	GL000196.1	=	NT_113909.1	Primary Assembly
HSCHR8_RANDOM_CTG4	unlocalized-scaffold	8	Chromosome	GL000197.1	=	NT_113907.1	Primary Assembly
HSCHR9_RANDOM_CTG1	unlocalized-scaffold	9	Chromosome	GL000198.1	=	NT_113914.1	Primary Assembly
HSCHR9_RANDOM_CTG2	unlocalized-scaffold	9	Chromosome	GL000199.1	=	NT_113916.2	Primary Assembly
HSCHR9_RANDOM_CTG4	unlocalized-scaffold	9	Chromosome	GL000200.1	=	NT_113915.1	Primary Assembly
HSCHR9_RANDOM_CTG5	unlocalized-scaffold	9	Chromosome	GL000201.1	=	NT_113911.1	Primary Assembly
HSCHR11_RANDOM_CTG2	unlocalized-scaffold	11	Chromosome	GL000202.1	=	NT_113921.2	Primary Assembly
HSCHR17_RANDOM_CTG1	unlocalized-scaffold	17	Chromosome	GL000203.1	=	NT_113941.1	Primary Assembly
HSCHR17_RANDOM_CTG2	unlocalized-scaffold	17	Chromosome	GL000204.1	=	NT_113943.1	Primary Assembly
HSCHR17_RANDOM_CTG3	unlocalized-scaffold	17	Chromosome	GL000205.1	=	NT_113930.1	Primary Assembly
HSCHR17_RANDOM_CTG4	unlocalized-scaffold	17	Chromosome	GL000206.1	=	NT_113945.1	Primary Assembly
HSCHR18_RANDOM_CTG1	unlocalized-scaffold	18	Chromosome	GL000207.1	=	NT_113947.1	Primary Assembly
HSCHR19_RANDOM_CTG1	unlocalized-scaffold	19	Chromosome	GL000208.1	=	NT_113948.1	Primary Assembly
HSCHR19_RANDOM_CTG2	unlocalized-scaffold	19	Chromosome	GL000209.1	=	NT_113949.1	Primary Assembly
HSCHR21_RANDOM_CTG9	unlocalized-scaffold	21	Chromosome	GL000210.1	=	NT_113950.2	Primary Assembly
HSCHRUN_RANDOM_CTG1	unplaced-scaffold	na	na	GL000211.1	=	NT_113961.1	Primary Assembly
HSCHRUN_RANDOM_CTG2	unplaced-scaffold	na	na	GL000212.1	=	NT_113923.1	Primary Assembly
HSCHRUN_RANDOM_CTG3	unplaced-scaffold	na	na	GL000213.1	=	NT_167208.1	Primary Assembly
HSCHRUN_RANDOM_CTG4	unplaced-scaffold	na	na	GL000214.1	=	NT_167209.1	Primary Assembly
HSCHRUN_RANDOM_CTG5	unplaced-scaffold	na	na	GL000215.1	=	NT_167210.1	Primary Assembly
HSCHRUN_RANDOM_CTG6	unplaced-scaffold	na	na	GL000216.1	=	NT_167211.1	Primary Assembly
HSCHRUN_RANDOM_CTG7	unplaced-scaffold	na	na	GL000217.1	=	NT_167212.1	Primary Assembly
HSCHRUN_RANDOM_CTG9	unplaced-scaffold	na	na	GL000218.1	=	NT_113889.1	Primary Assembly
HSCHRUN_RANDOM_CTG10	unplaced-scaffold	na	na	GL000219.1	=	NT_167213.1	Primary Assembly
HSCHRUN_RANDOM_CTG11	unplaced-scaffold	na	na	GL000220.1	=	NT_167214.1	Primary Assembly
HSCHRUN_RANDOM_CTG13	unplaced-scaffold	na	na	GL000221.1	=	NT_167215.1	Primary Assembly
HSCHRUN_RANDOM_CTG14	unplaced-scaffold	na	na	GL000222.1	=	NT_167216.1	Primary Assembly
HSCHRUN_RANDOM_CTG15	unplaced-scaffold	na	na	GL000223.1	=	NT_167217.1	Primary Assembly
HSCHRUN_RANDOM_CTG16	unplaced-scaffold	na	na	GL000224.1	=	NT_167218.1	Primary Assembly
HSCHRUN_RANDOM_CTG17	unplaced-scaffold	na	na	GL000225.1	=	NT_167219.1	Primary Assembly
HSCHRUN_RANDOM_CTG19	unplaced-scaffold	na	na	GL000226.1	=	NT_167220.1	Primary Assembly
HSCHRUN_RANDOM_CTG20	unplaced-scaffold	na	na	GL000227.1	=	NT_167221.1	Primary Assembly
HSCHRUN_RANDOM_CTG21	unplaced-scaffold	na	na	GL000228.1	=	NT_167222.1	Primary Assembly
HSCHRUN_RANDOM_CTG22	unplaced-scaffold	na	na	GL000229.1	=	NT_167223.1	Primary Assembly
HSCHRUN_RANDOM_CTG23	unplaced-scaffold	na	na	GL000230.1	=	NT_167224.1	Primary Assembly
HSCHRUN_RANDOM_CTG24	unplaced-scaffold	na	na	GL000231.1	=	NT_167225.1	Primary Assembly
HSCHRUN_RANDOM_CTG25	unplaced-scaffold	na	na	GL000232.1	=	NT_167226.1	Primary Assembly
HSCHRUN_RANDOM_CTG26	unplaced-scaffold	na	na	GL000233.1	=	NT_167227.1	Primary Assembly
HSCHRUN_RANDOM_CTG27	unplaced-scaffold	na	na	GL000234.1	=	NT_167228.1	Primary Assembly
